DAC_V,ADC_V,ERROR_V,ERROR_PCT
0.0,0.157,0.157,0
0.2,0.397,0.197,98.5
0.4,0.601,0.20099999999999996,50.249999999999986
0.6,0.814,0.21399999999999997,35.666666666666664
0.8,0.96,0.15999999999999992,19.99999999999999
1.0,1.214,0.21399999999999997,21.4
1.2,1.328,0.1280000000000001,10.666666666666677
1.4,1.553,0.15300000000000002,10.92857142857143
1.6,1.779,0.17899999999999983,11.18749999999999
1.8,1.919,0.119,6.611111111111111
2.0,2.093,0.09299999999999997,4.649999999999999
2.2,2.36,0.1599999999999997,7.272727272727258
2.4,2.563,0.16300000000000026,6.791666666666678
2.6,2.72,0.1200000000000001,4.615384615384619
2.8,2.954,0.15400000000000036,5.500000000000013
3.0,3.071,0.07100000000000017,2.3666666666666725
3.2,3.324,0.12399999999999967,3.8749999999999893
3.3,3.392,0.09200000000000008,2.7878787878787907
0.0,0.157,0.157,0
0.2,0.397,0.197,98.5
0.4,0.601,0.20099999999999996,50.249999999999986
0.6,0.814,0.21399999999999997,35.666666666666664
0.8,0.96,0.15999999999999992,19.99999999999999
1.0,1.214,0.21399999999999997,21.4
1.2,1.328,0.1280000000000001,10.666666666666677
1.4,1.553,0.15300000000000002,10.92857142857143
1.6,1.779,0.17899999999999983,11.18749999999999
1.8,1.919,0.119,6.611111111111111
2.0,2.093,0.09299999999999997,4.649999999999999
2.2,2.36,0.1599999999999997,7.272727272727258
2.4,2.563,0.16300000000000026,6.791666666666678
2.6,2.72,0.1200000000000001,4.615384615384619
2.8,2.954,0.15400000000000036,5.500000000000013
3.0,3.071,0.07100000000000017,2.3666666666666725
3.2,3.324,0.12399999999999967,3.8749999999999893
3.3,3.392,0.09200000000000008,2.7878787878787907
